date,open,high
2013-08-25,2.4457,2.4457
2013-08-26,2.3769,2.4132
2013-08-27,2.3681,2.387
2013-08-28,2.3428,2.3644
2013-08-29,2.3562,2.38
2013-09-01,2.4457,2.4457
2013-09-02,2.3741,2.3987
2013-09-03,2.3556,2.3599
2013-09-04,2.3579,2.3704
2013-09-05,2.3216,2.3226
2013-09-08,2.4457,2.4457
2013-09-09,2.2738,2.277
2013-09-10,2.2822,2.304
2013-09-11,2.2715,2.287
2013-09-12,2.2728,2.2833
2013-09-15,2.2776,2.2779
2013-09-16,2.2816,2.2828
2013-09-17,2.2523,2.2547
2013-09-18,2.1829,2.2133
2013-09-19,2.1977,2.2162
2013-09-22,2.3778,2.3778
2013-09-23,2.1978,2.2096
2013-09-24,2.1945,2.2305
2013-09-25,2.2229,2.2385
2013-09-26,2.2426,2.26
2013-09-29,2.2539,2.2553
2013-09-30,2.217,2.2228
2013-10-01,2.213,2.2199
2013-10-02,2.1894,2.211
2013-10-03,2.2048,2.2081
2013-10-06,2.2075,2.2178
2013-10-07,,
2013-10-08,2.2055,2.2107
2013-10-09,2.2027,2.2037
2013-10-10,2.1771,2.1845
2013-10-13,2.176,2.1899
2013-10-14,2.1788,2.1875
2013-10-15,2.1772,2.1827
2013-10-16,2.1777,2.1789
2013-10-17,2.1588,2.163
2013-10-20,2.1661,2.1746
2013-10-21,2.1706,2.1855
2013-10-22,2.1695,2.1844
2013-10-23,2.1883,2.2053
2013-10-24,2.2005,2.2018
2013-10-28,2.1862,2.1875
2013-10-29,2.1778,2.1875
2013-10-30,2.1821,2.1895
2013-10-31,2.1809,2.2208
2013-11-01,2.2319,2.2565
2013-11-04,2.254,2.254
2013-11-05,2.2409,2.2903
2013-11-06,2.2792,2.2937
2013-11-07,2.2825,2.3001
2013-11-08,2.3028,2.3396
2013-11-11,2.3125,2.3269
2013-11-12,2.3278,2.3449
2013-11-13,2.3302,2.3318
2013-11-14,2.329,2.3351
2013-11-15,2.3111,2.3149
2013-11-18,2.3157,2.3162
2013-11-19,2.2602,2.2739
2013-11-20,2.2688,2.2705
2013-11-21,2.2668,2.3142
2013-11-22,2.3021,2.3123
2013-11-25,2.2758,2.2926
2013-11-26,2.2819,2.303
2013-11-27,2.2896,2.311
2013-11-28,2.327,2.3373
2013-11-29,2.3152,2.3368
2013-12-02,2.3308,2.3531
2013-12-03,2.351,2.3591
2013-12-04,2.3709,2.3802
2013-12-05,2.3861,2.3914
2013-12-06,2.3562,2.3692
2013-12-09,2.3218,2.3286
2013-12-10,2.3169,2.322
2013-12-11,2.3016,2.3358
2013-12-12,2.3386,2.347
2013-12-13,2.3301,2.3368
2013-12-16,2.325,2.3317
2013-12-17,2.3229,2.3266
2013-12-18,2.3144,2.3349
2013-12-19,2.3284,2.359
2013-12-20,2.3524,2.3856
2013-12-23,2.356,2.385
2013-12-24,2.3521,2.3575
2013-12-25,2.3523,2.3523
2013-12-26,2.3523,2.3568
2013-12-27,2.3523,2.3568
2013-12-30,2.3579,2.3609
2013-12-31,2.3592,2.3598
2014-01-01,2.3571,2.3571
2014-01-02,2.3571,2.4057
2014-01-03,2.385,2.3851
2014-01-06,2.3715,2.3819
2014-01-07,2.3712,2.3737
2014-01-08,2.3687,2.3805
2014-01-09,2.3921,2.3995
2014-01-10,2.3878,2.394
2014-01-13,2.3535,2.3592
2014-01-14,2.3524,2.3655
2014-01-15,2.3495,2.355
2014-01-16,2.3555,2.3742
2014-01-17,2.3606,2.3628
2014-01-20,2.3495,2.3521
2014-01-21,2.3386,2.3653
2014-01-22,2.3577,2.3663
2014-01-23,2.37,2.3881
2014-01-24,2.3909,2.4297
2014-01-27,2.3932,2.4181
2014-01-28,2.4185,2.4244
2014-01-29,2.4234,2.4468
2014-01-30,2.4302,2.44
2014-01-31,2.4068,2.4338
2014-02-03,2.4077,2.4243
2014-02-04,2.4372,2.4375
2014-02-05,2.4064,2.4167
2014-02-06,2.3936,2.4098
2014-02-07,2.3796,2.391
2014-02-10,2.3752,2.3993
2014-02-11,2.404,2.4137
2014-02-12,2.4015,2.4101
2014-02-13,2.4192,2.4298
2014-02-14,2.3888,2.3959
2014-02-17,2.3841,2.3897
2014-02-18,2.3819,2.3995
2014-02-19,2.388,2.4093
2014-02-20,2.389,2.3918
2014-02-21,2.3716,2.3739
2014-02-24,2.3406,2.3482
2014-02-25,2.3335,2.342
2014-02-26,2.3385,2.3498
2014-02-27,2.3482,2.3483
2014-02-28,2.3136,2.3411
2014-03-03,2.3334,2.3391
2014-03-04,2.3391,2.3455
2014-03-05,2.336,2.3386
2014-03-06,2.3153,2.3195
2014-03-07,2.3179,2.3426
2014-03-10,2.3088,2.3488
2014-03-11,2.3431,2.3537
2014-03-12,2.3595,2.3705
2014-03-13,2.3521,2.3576
2014-03-14,2.361,2.3729
2014-03-17,2.3405,2.3519
2014-03-18,2.344,2.3557
2014-03-19,2.3273,2.3412
2014-03-20,2.3444,2.3538
2014-03-21,2.3234,2.3293
2014-03-24,2.3198,2.3309
2014-03-25,2.3208,2.3268
