Date,tr
2014-03-03,0.0201
2014-03-04,0.0197
2014-03-05,0.0189
2014-03-06,0.0404
2014-03-07,0.0378
2014-03-10,0.04
2014-03-11,0.026
2014-03-12,0.0273
2014-03-13,0.0234
2014-03-14,0.0206
2014-03-17,0.0317
2014-03-18,0.0159
2014-03-19,0.0198
2014-03-20,0.029
2014-03-21,0.0362
2014-03-24,0.022
2014-03-25,0.0284
2014-03-26,0.0311
2014-03-27,0.0504
2014-03-28,0.0482
2014-03-30,0.0267
2014-03-31,0.0237
2014-04-01,0.0308
2014-04-02,0.0336
2014-04-03,0.0443
2014-04-06,0.0613
2014-04-07,0.0411
2014-04-08,0.0307
2014-04-09,0.0338
2014-04-10,0.0349
2014-04-13,0.0228
2014-04-14,0.0377
2014-04-15,0.024
2014-04-16,0.025
2014-04-17,0.0146
2014-04-20,0.0088
2014-04-21,0.0285
2014-04-22,0.024
2014-04-23,0.0298
2014-04-24,0.0432
2014-04-27,0.0335
2014-04-28,0.0378
2014-04-29,0.0366
2014-04-30,0.0219
2014-05-01,0.0269
2014-05-04,0.0304
2014-05-05,0.0274
2014-05-06,0.0341
2014-05-07,0.028
2014-05-08,0.0233
2014-05-11,0.0226
2014-05-12,0.0228
2014-05-13,0.0198
2014-05-14,0.0395
2014-05-15,0.0203
2014-05-18,0.0185
2014-05-19,0.0296
2014-05-20,0.0141
2014-05-21,0.0273
2014-05-22,0.0231
2014-05-25,0.0167
2014-05-26,0.0346
2014-05-27,0.0247
2014-05-28,0.0182
2014-05-29,0.034
2014-06-01,0.0481
2014-06-02,0.0374
2014-06-03,0.0257
2014-06-04,0.0248
2014-06-05,0.0391
2014-06-08,0.0345
2014-06-09,0.0358
2014-06-10,0.0293
2014-06-11,0.017
2014-06-12,0.0278
2014-06-15,0.0255
2014-06-16,0.0394
2014-06-17,0.0293
2014-06-18,0.0548
2014-06-19,0.035
2014-06-22,0.0228
2014-06-23,0.0271
2014-06-24,0.0257
2014-06-25,0.0322
2014-06-26,0.0276
2014-06-29,0.0313
2014-06-30,0.0253
2014-07-01,0.0323
2014-07-02,0.0424
