"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 27, 2017","3,153.68","3,182.00","3,186.00","3,140.50","394.11K","-1.03"
"Jan 26, 2017","3,186.53","3,166.00","3,198.50","3,165.00","409.66K","0.42"
"Jan 24, 2017","3,173.10","3,174.50","3,181.50","3,165.50","296.73K","-0.26"
"Jan 23, 2017","3,181.49","3,167.50","3,191.50","3,162.00","361.58K","-0.12"
"Jan 20, 2017","3,185.44","3,211.50","3,214.50","3,177.50","379.94K","-0.70"
"Jan 19, 2017","3,207.93","3,239.50","3,243.50","3,204.50","464.11K","-0.82"
"Jan 18, 2017","3,234.45","3,234.50","3,244.00","3,226.50","321.81K","0.25"
"Jan 17, 2017","3,226.36","3,223.00","3,235.00","3,211.00","377.37K","-0.61"
"Jan 16, 2017","3,246.15","3,244.50","3,262.50","3,232.50","230.29K","0.65"
"Jan 13, 2017","3,225.27","3,203.00","3,240.00","3,196.00","467.54K","1.07"
"Jan 12, 2017","3,191.04","3,190.50","3,208.50","3,169.00","483.93K","-0.69"
"Jan 11, 2017","3,213.37","3,215.50","3,249.00","3,198.50","567.39K","-0.14"
"Jan 10, 2017","3,217.81","3,218.50","3,221.50","3,201.00","282.53K","-0.01"
"Jan 09, 2017","3,218.05","3,249.50","3,255.00","3,212.00","295.64K","-0.82"
"Jan 06, 2017","3,244.50","3,232.50","3,248.00","3,208.50","411.43K","0.67"
"Jan 05, 2017","3,223.05","3,246.00","3,253.00","3,217.00","456.18K","-0.75"
"Jan 04, 2017","3,247.40","3,281.00","3,282.00","3,235.00","296.34K","-1.01"
"Jan 03, 2017","3,280.37","3,312.50","3,318.50","3,275.00","310.11K","-0.84"
"Jan 02, 2017","3,308.27","3,285.50","3,316.50","3,282.00","162.31K","1.51"
"Dec 29, 2016","3,259.10","3,274.00","3,275.00","3,254.00","55.55K","-0.78"
"Dec 28, 2016","3,284.86","3,276.00","3,297.50","3,267.50","247.30K","0.09"
"Dec 27, 2016","3,281.93","3,288.00","3,293.00","3,272.50","238.53K","-0.12"
"Dec 26, 2016","3,285.97","3,274.50","3,291.00","3,268.00","98.80K","0.33"
"Dec 23, 2016","3,275.10","3,291.50","3,298.50","3,264.50","265.03K","-1.09"
"Dec 22, 2016","3,311.13","3,345.00","3,355.50","3,291.00","408.03K","-0.81"
"Dec 21, 2016","3,338.13","3,361.00","3,363.00","3,331.00","302.79K","-0.64"
"Dec 20, 2016","3,359.55","3,381.50","3,387.00","3,348.50","363.72K","-0.72"
"Dec 19, 2016","3,383.77","3,404.00","3,415.00","3,373.00","376.77K","-0.59"
"Dec 16, 2016","3,403.79","3,384.50","3,425.50","3,357.00","409.41K","0.44"
"Dec 15, 2016","3,388.95","3,406.50","3,423.00","3,377.50","546.33K","1.15"
"Dec 14, 2016","3,350.56","3,358.00","3,388.50","3,318.00","461.02K","0.23"
"Dec 13, 2016","3,342.88","3,368.50","3,383.00","3,334.50","376.00K","-0.72"
"Dec 12, 2016","3,367.02","3,415.00","3,427.00","3,353.50","404.88K","-0.53"
"Dec 09, 2016","3,385.13","3,407.00","3,431.00","3,371.00","416.01K","-0.59"
"Dec 08, 2016","3,405.39","3,400.00","3,439.50","3,392.50","446.02K","-0.84"
"Dec 07, 2016","3,434.07","3,413.50","3,444.00","3,402.00","450.54K","-0.10"
"Dec 06, 2016","3,437.48","3,477.50","3,494.00","3,423.00","518.10K","-0.51"
"Dec 05, 2016","3,455.07","3,505.00","3,509.50","3,444.50","360.66K","-1.26"
"Dec 02, 2016","3,499.30","3,498.00","3,522.50","3,475.00","509.89K","-0.15"
"Dec 01, 2016","3,504.68","3,422.50","3,509.00","3,412.50","613.75K","3.18"
"Nov 30, 2016","3,396.70","3,400.00","3,407.00","3,381.00","28.75K","-0.03"
"Nov 29, 2016","3,397.55","3,393.00","3,415.00","3,382.00","372.49K","0.10"
"Nov 28, 2016","3,394.02","3,396.50","3,417.50","3,385.00","416.19K","-0.88"
"Nov 25, 2016","3,424.27","3,430.00","3,474.00","3,409.00","476.65K","0.63"
"Nov 24, 2016","3,402.69","3,395.00","3,417.00","3,388.50","273.48K","0.07"
"Nov 23, 2016","3,400.21","3,369.50","3,426.50","3,359.50","536.16K","0.98"
"Nov 22, 2016","3,367.25","3,349.50","3,373.50","3,338.00","454.28K","0.22"
"Nov 21, 2016","3,359.81","3,391.00","3,394.00","3,352.00","402.90K","-1.19"
"Nov 18, 2016","3,400.21","3,452.50","3,455.00","3,384.50","556.33K","-1.09"
"Nov 17, 2016","3,437.72","3,418.50","3,445.00","3,401.50","578.18K","0.03"
"Nov 16, 2016","3,436.67","3,415.00","3,461.00","3,411.00","459.64K","-0.73"
"Nov 14, 2016","3,461.77","3,459.50","3,492.00","3,440.00","506.20K","1.70"
"Nov 11, 2016","3,403.92","3,416.00","3,529.00","3,390.50","707.76K","0.74"
"Nov 10, 2016","3,379.03","3,230.00","3,415.00","3,227.50","987.88K","4.88"
"Nov 09, 2016","3,221.71","3,263.00","3,268.00","3,216.50","673.09K","0.85"
"Nov 08, 2016","3,194.43","3,226.00","3,237.00","3,183.50","474.85K","-0.88"
"Nov 07, 2016","3,222.94","3,228.50","3,239.50","3,211.50","333.65K","-0.66"
"Nov 04, 2016","3,244.34","3,277.50","3,289.00","3,242.00","548.74K","-0.49"
"Nov 03, 2016","3,260.36","3,269.50","3,275.50","3,247.00","521.15K","-0.47"
"Nov 01, 2016","3,275.68","3,212.00","3,282.00","3,206.00","529.99K","2.97"
"Oct 31, 2016","3,181.10","3,193.00","3,198.00","3,177.00","30.01K","-0.62"
"Oct 28, 2016","3,200.92","3,167.00","3,208.50","3,161.00","595.48K","1.55"
"Oct 27, 2016","3,151.94","3,145.00","3,179.00","3,130.50","461.46K","0.09"
"Oct 26, 2016","3,149.14","3,130.00","3,157.00","3,119.00","485.93K","1.22"
"Oct 25, 2016","3,111.29","3,128.00","3,142.00","3,107.50","491.59K","-0.54"
"Oct 24, 2016","3,128.17","3,152.00","3,157.50","3,121.00","374.31K","-1.40"
"Oct 21, 2016","3,172.48","3,153.50","3,176.50","3,151.50","370.72K","0.79"
"Oct 20, 2016","3,147.72","3,184.00","3,184.00","3,143.00","457.96K","-1.04"
"Oct 19, 2016","3,180.67","3,195.00","3,207.00","3,173.50","412.98K","-0.29"
"Oct 18, 2016","3,190.00","3,204.00","3,205.00","3,185.00","353.73K","-0.56"
"Oct 17, 2016","3,207.99","3,212.00","3,229.00","3,201.50","325.60K","-0.01"
"Oct 14, 2016","3,208.17","3,189.50","3,222.00","3,179.50","504.58K","0.25"
"Oct 13, 2016","3,200.22","3,225.00","3,234.50","3,192.00","441.85K","-0.77"
"Oct 11, 2016","3,225.04","3,225.00","3,244.00","3,210.50","505.62K","-0.09"
"Oct 10, 2016","3,227.93","3,233.50","3,241.50","3,217.00","303.16K","-0.43"
"Oct 07, 2016","3,241.85","3,257.50","3,261.00","3,211.50","551.89K","-0.15"
"Oct 06, 2016","3,246.86","3,248.50","3,265.50","3,241.00","395.20K","0.04"
"Oct 05, 2016","3,245.58","3,271.00","3,276.00","3,241.50","387.69K","-1.03"
