Date,kdjk_9
2012-04-30,89.4485314001
2012-05-01,89.3051218763
2012-05-02,88.5204367506
2012-05-03,81.7175872044
2012-05-06,85.0974390886
2012-05-07,81.0290752593
2012-05-08,76.482468646
2012-05-09,83.0070917734
2012-05-10,80.2212387523
2012-05-13,79.1039564431
2012-05-14,84.2140731518
2012-05-15,87.9817958943
2012-05-16,90.1574207696
2012-05-17,89.4890952052
2012-05-20,86.8330135928
2012-05-21,84.1569360207
2012-05-22,86.5859074362
2012-05-23,75.0142608715
2012-05-24,63.5769453961
2012-05-27,47.3749403416
2012-05-28,36.3928173706
2012-05-29,31.4761639613
2012-05-30,33.6507759742
2012-05-31,37.5767077923
2012-06-03,43.4082813854
2012-06-04,60.5396858577
2012-06-05,61.0805112926
2012-06-06,64.9407150821
2012-06-07,66.8211835821
2012-06-10,60.6128717868
2012-06-11,73.6897496836
2012-06-12,82.0059753312
2012-06-13,86.488832039
2012-06-14,83.4627107992
2012-06-17,77.0375831407
2012-06-18,78.2178928927
2012-06-19,64.2205603674
2012-06-20,52.4096665076
2012-06-21,62.3471850791
2012-06-24,70.3372306156
2012-06-25,72.8982798961
2012-06-26,79.6490815745
2012-06-27,79.8133357069
2012-06-28,80.8290638361
2012-07-01,62.2571516538
2012-07-02,44.0976804745
2012-07-03,38.8481799533
2012-07-04,40.5055282086
2012-07-05,39.4208563165
2012-07-08,41.2618442859
2012-07-09,43.5839549633
2012-07-10,47.5781053922
2012-07-11,58.5293532124
2012-07-12,66.5049489252
2012-07-15,70.5557949806
2012-07-16,70.01196425
2012-07-17,60.6852670033
2012-07-18,51.5203707217
2012-07-19,45.2835048558
2012-07-22,47.931877001
2012-07-23,57.5508615725
2012-07-24,70.6665111213
2012-07-25,71.6243894094
2012-07-26,64.5987413581
2012-07-29,60.4015939954
2012-07-30,67.4681836176
2012-07-31,78.2603625774
2012-08-01,76.5815896235
2012-08-02,79.2875442663
2012-08-05,68.0981928381
2012-08-06,61.5493720317
2012-08-07,56.3334611359
2012-08-08,49.2131999558
2012-08-09,38.6870848945
2012-08-12,35.8348209829
2012-08-13,38.7250454904
2012-08-14,44.792976644
2012-08-15,54.6640952473
2012-08-16,53.7690274384
2012-08-19,52.6446110803
2012-08-20,54.0723110013
2012-08-21,51.6104563302
2012-08-22,54.3868905655
2012-08-23,63.063070466
2012-08-26,69.1439263048
2012-08-27,69.0329229296
2012-08-28,73.8716097411
2012-08-29,79.1428447225
2012-08-30,81.7061432195
2012-09-02,72.8574762626
2012-09-03,64.99475453
2012-09-04,65.3896832566
2012-09-05,65.3050219623
2012-09-06,56.2033479749
2012-09-09,55.6207138314
2012-09-10,51.9319610361
2012-09-11,46.2258070614
2012-09-12,52.6014370727
2012-09-13,52.9791046598
2012-09-16,47.0759729544
2012-09-17,58.5656700955
2012-09-18,62.6941656678
2012-09-19,66.8175328959
2012-09-20,66.3871271938
2012-09-23,66.7142251467
2012-09-24,71.0550974662
2012-09-25,75.8949223532
2012-09-26,83.196451903
2012-09-27,81.0886226584
2012-09-30,74.9059873097
2012-10-01,71.2185409427
2012-10-02,71.0403736578
2012-10-03,63.9726269553
2012-10-04,57.4058999104
2012-10-07,33.7298362664
2012-10-08,50.0763011006
2012-10-09,60.143459993
2012-10-10,72.6497525495
2012-10-11,79.9099616153
2012-10-14,86.3591163244
2012-10-15,85.3780247443
2012-10-16,82.9912904236
2012-10-17,75.1295071471
2012-10-18,67.395932559
2012-10-21,62.2402161669
2012-10-22,57.6686338342
2012-10-23,56.7656843971
2012-10-24,55.0019665418
2012-10-25,57.1395746934
2012-10-29,56.1857414177
2012-10-30,60.630066471
2012-10-31,61.8995452053
2012-11-01,61.7654722046
2012-11-02,63.1021151596
2012-11-05,63.1063281392
2012-11-06,68.0271695791
2012-11-07,66.113351148
2012-11-08,68.2912537065
2012-11-09,63.5674525334
2012-11-12,64.9750557464
2012-11-13,67.6061095157
2012-11-14,72.1540730104
2012-11-15,77.8850750196
2012-11-16,79.4803520798
2012-11-19,80.5478769963
2012-11-20,78.3017592674
2012-11-21,77.7227643054
2012-11-22,83.3404427775
2012-11-23,84.1382558617
2012-11-26,74.061992248
2012-11-27,66.3443584684
2012-11-28,61.3709225232
2012-11-29,61.6969074737
2012-11-30,63.9900679455
2012-12-03,73.4597285907
2012-12-04,73.913769971
2012-12-05,73.8997579696
2012-12-06,61.5388726923
2012-12-07,48.0283721307
2012-12-10,37.9976207325
2012-12-11,34.2180934555
2012-12-12,31.4695756523
2012-12-13,27.6540115332
2012-12-14,33.3457892653
2012-12-17,38.274372714
2012-12-18,52.0071461533
2012-12-19,56.705329074
2012-12-20,51.4472124271
2012-12-21,47.995305877
2012-12-24,38.7384436184
2012-12-25,42.5190480195
2012-12-26,47.5955446836
2012-12-27,41.8544127422
2012-12-28,35.6289474036
2012-12-31,34.8152225777
2013-01-01,37.4457373575
2013-01-02,36.6430229
2013-01-03,36.1078799283
2013-01-04,38.0401739205
2013-01-07,34.1924512763
2013-01-08,37.366211876
2013-01-09,49.0143935747
2013-01-10,61.8263287842
2013-01-11,57.0874064405
2013-01-14,56.624579204
2013-01-15,58.9349046545
2013-01-16,39.2899364364
2013-01-17,54.2874443365
2013-01-18,61.4763675986
2013-01-21,57.6509117324
2013-01-22,62.9088269997
2013-01-23,67.1996346665
2013-01-24,63.8969786665
2013-01-25,54.2397768225
2013-01-28,54.0650175278
2013-01-29,44.8244721483
2013-01-30,35.3001941888
2013-01-31,32.5530706357
2013-02-01,31.6236157179
2013-02-04,29.3569202825
2013-02-05,32.8684307989
2013-02-06,30.3901292031
2013-02-07,31.6719039072
2013-02-08,35.6474745771
2013-02-11,42.1677608292
2013-02-12,47.1931126376
2013-02-13,49.4243836901
2013-02-14,48.1439354165
2013-02-15,42.637770843
2013-02-18,45.602702912
2013-02-19,44.0671914688
2013-02-20,45.4275103619
2013-02-21,50.1224052819
2013-02-22,62.7645303505
2013-02-25,68.9974917784
2013-02-26,77.5698570982
2013-02-27,80.7313744007
2013-02-28,78.0235429088
2013-03-01,78.2821117828
2013-03-04,80.5808199878
2013-03-05,72.357656675
2013-03-06,59.8147924631
2013-03-07,58.1852311002
2013-03-08,49.9263466928
2013-03-11,40.5810802165
2013-03-12,44.0172800494
2013-03-13,51.2309743627
2013-03-14,59.9993935365
2013-03-15,70.643615507
2013-03-18,68.3967640795
2013-03-19,68.5995433999
2013-03-20,68.6496956
2013-03-21,69.4484365224
2013-03-22,75.9337242096
2013-03-25,78.6692273807
2013-03-26,79.6520339401
2013-03-27,81.665128736
2013-03-28,80.4412616601
2013-03-29,84.4797192081
2013-03-31,86.6342782142
2013-04-01,84.6877528051
2013-04-02,85.0299304415
2013-04-03,87.4558510635
2013-04-04,82.2595699332
2013-04-07,63.0648215139
2013-04-08,54.4725928737
2013-04-09,45.4474820071
2013-04-10,38.9659785941
2013-04-11,35.4374478394
2013-04-14,30.8072856682
2013-04-15,42.3613948654
2013-04-16,45.8940970961
2013-04-17,54.0453839441
2013-04-18,51.6662539517
2013-04-21,61.8951496933
2013-04-22,72.8093268486
2013-04-23,79.7981957691
2013-04-24,79.9853347543
2013-04-25,72.2226390717
2013-04-28,63.377783846
2013-04-29,62.0312097192
2013-04-30,57.8238009633
2013-05-01,55.1764662056
2013-05-02,57.5092911032
2013-05-05,57.8824746047
2013-05-06,63.6130443952
2013-05-07,67.3345122872
2013-05-08,64.7709804961
2013-05-09,63.0798979966
2013-05-12,65.730847195
2013-05-13,60.9948456765
2013-05-14,64.965365098
2013-05-15,68.8439051392
2013-05-16,69.5654045466
2013-05-19,75.2020729764
2013-05-20,78.8555025255
2013-05-21,79.4600500108
2013-05-22,82.5212110482
2013-05-23,82.1960544738
2013-05-26,84.3413645111
2013-05-27,82.6208465826
2013-05-28,80.4536987167
2013-05-29,86.179753217
2013-05-30,81.8886526823
2013-06-02,74.1797877475
